Группа мышц,Название,Целевые мышцы,Тип,Оборудование,Направление,Функциональность,Описание
Грудь,Жим штанги лёжа,"Большая грудная, трицепс, передняя дельта",Базовое,Штанга,Push,Силовое,"Лягте на скамью, возьмите штангу хватом шире плеч. Опустите к середине груди, выжмите вверх до выпрямления рук."
Грудь,Жим гантелей лёжа,"Большая грудная, трицепс, передняя дельта",Базовое,Гантели,Push,Силовое,"Лягте на скамью с гантелями у плеч. Выжмите вверх, сводя руки, затем медленно опустите до уровня груди."
Грудь,Жим штанги на наклонной скамье,"Верх груди, передняя дельта, трицепс",Базовое,Штанга,Push,Силовое,"Установите скамью под углом 30-45°. Опустите штангу к верхней части груди, выжмите вверх."
Грудь,Жим гантелей на наклонной скамье,"Верх груди, передняя дельта, трицепс",Базовое,Гантели,Push,Силовое,"На наклонной скамье 30-45° выжмите гантели вверх, сводя их в верхней точке. Опустите к плечам."
Грудь,Жим штанги головой вниз,"Низ груди, трицепс",Базовое,Штанга,Push,Силовое,"На скамье с отрицательным наклоном опустите штангу к нижней части груди, выжмите вверх."
Грудь,Жим на грудь в тренажёре сидя,"Большая грудная, трицепс",Базовое,Тренажёр,Push,Силовое,"Сядьте в тренажёр, упритесь спиной. Выжмите рукоятки вперёд до выпрямления рук, вернитесь в исходное положение."
Грудь,Отжимания от пола,"Большая грудная, трицепс, кор",Базовое,Своё тело,Push,Функциональное,"Примите упор лёжа, руки шире плеч. Опуститесь, касаясь грудью пола, отожмитесь до выпрямления рук."
Грудь,Брусья,"Низ груди, трицепс, передняя дельта",Базовое,Своё тело,Push,Функциональное,"Наклоните корпус вперёд, опуститесь до угла 90° в локтях. Отожмитесь, сохраняя наклон туловища."
Грудь,Бабочка (Pec Deck),Большая грудная,Изолирующее,Тренажёр,Push,Силовое,"Сядьте в тренажёр, локти на упорах. Сведите руки перед собой, задержитесь, медленно разведите."
Грудь,Сведение рук в кроссовере,Большая грудная,Изолирующее,Блок,Push,Силовое,"Встаньте между блоками, слегка наклонитесь. Сведите руки перед собой дугообразным движением."
Грудь,Разведение гантелей лёжа,Большая грудная,Изолирующее,Гантели,Push,Силовое,"Лёжа на скамье, разведите слегка согнутые руки в стороны до растяжения груди. Сведите обратно."
Спина,Подтягивания,"Широчайшие, бицепс, ромбовидные",Базовое,Своё тело,Pull,Функциональное,"Возьмитесь за перекладину широким хватом. Подтянитесь, стремясь коснуться грудью перекладины."
Спина,Подтягивания обратным хватом,"Широчайшие, бицепс",Базовое,Своё тело,Pull,Функциональное,"Возьмитесь обратным хватом на ширине плеч. Подтянитесь, сводя лопатки, опуститесь плавно."
Спина,Тяга верхнего блока,"Широчайшие, бицепс, ромбовидные",Базовое,Блок,Pull,Силовое,"Сядьте, зафиксируйте бёдра. Тяните рукоять к верхней части груди, сводя лопатки."
Спина,Тяга нижнего блока,"Широчайшие, ромбовидные, трапеции",Базовое,Блок,Pull,Силовое,"Сядьте, упритесь ногами. Тяните рукоять к животу, сводя лопатки, не отклоняйте корпус назад."
Спина,Тяга штанги в наклоне,"Широчайшие, ромбовидные, трапеции",Базовое,Штанга,Pull,Силовое,"Наклонитесь вперёд с прямой спиной. Тяните штангу к низу живота, сводя лопатки."
Спина,Тяга гантели в наклоне,"Широчайшие, ромбовидные",Базовое,Гантели,Pull,Силовое,"Упритесь коленом и рукой в скамью. Тяните гантель к бедру, локоть вдоль корпуса."
Спина,Тяга Т-грифа,"Широчайшие, ромбовидные, трапеции",Базовое,Штанга,Pull,Силовое,"Встаньте над грифом, наклонитесь. Тяните к груди, сводя лопатки, опустите плавно."
Спина,Горизонтальные тяги,"Широчайшие, ромбовидные",Базовое,Тренажёр,Pull,Силовое,"Упритесь грудью в подушку тренажёра. Тяните рукояти к себе, сводя лопатки."
Спина,Становая тяга,"Разгибатели спины, ягодицы, бицепс бедра",Базовое,Штанга,Pull,Силовое,"Встаньте у штанги, присядьте с прямой спиной. Поднимите штангу, выпрямляя ноги и спину одновременно."
Спина,Гиперэкстензия,"Разгибатели спины, ягодицы",Изолирующее,Тренажёр,Pull,Функциональное,"Зафиксируйте ноги, опустите корпус вниз. Поднимитесь до прямой линии с ногами, не переразгибайтесь."
Спина,Шраги с гантелями,Верхняя трапеция,Изолирующее,Гантели,Pull,Силовое,"Встаньте с гантелями по бокам. Поднимите плечи максимально вверх, задержитесь, опустите."
Спина,Шраги со штангой,Верхняя трапеция,Изолирующее,Штанга,Pull,Силовое,"Держите штангу перед собой. Поднимите плечи вверх к ушам, не сгибая локти."
Спина,Пуловер на блоке,"Широчайшие, зубчатые",Изолирующее,Блок,Pull,Силовое,"Встаньте лицом к блоку, возьмите рукоять прямыми руками. Тяните вниз дугой до бёдер."
Спина,Обратное разведение рук,"Задняя дельта, ромбовидные",Изолирующее,Тренажёр,Pull,Силовое,"Сядьте лицом к тренажёру. Разведите руки назад, сводя лопатки, вернитесь плавно."
Плечи,Армейский жим,"Передняя и средняя дельта, трицепс",Базовое,Штанга,Push,Силовое,"Возьмите штангу на уровне ключиц. Выжмите над головой до выпрямления рук, опустите к ключицам."
Плечи,Жим гантелей сидя,"Передняя и средняя дельта, трицепс",Базовое,Гантели,Push,Силовое,"Сядьте с гантелями у плеч. Выжмите вверх, сводя гантели, опустите до уровня ушей."
Плечи,Жим в тренажёре на плечи,"Передняя и средняя дельта, трицепс",Базовое,Тренажёр,Push,Силовое,"Сядьте в тренажёр, спина прижата. Выжмите рукояти вверх, не выпрямляя локти полностью."
Плечи,Жим Арнольда,"Все пучки дельт, трицепс",Базовое,Гантели,Push,Силовое,"Начните с гантелей перед лицом ладонями к себе. Разворачивая кисти, выжмите вверх."
Плечи,Разведение гантелей в стороны,Средняя дельта,Изолирующее,Гантели,Push,Силовое,"Встаньте с гантелями по бокам. Поднимите руки в стороны до уровня плеч, локти слегка согнуты."
Плечи,Подъём гантелей перед собой,Передняя дельта,Изолирующее,Гантели,Push,Силовое,"Поднимите гантели перед собой до уровня плеч, руки почти прямые. Опустите плавно."
Плечи,Разведение на заднюю дельту,Задняя дельта,Изолирующее,Гантели,Pull,Силовое,"Наклонитесь вперёд, разведите руки в стороны, поднимая локти. Сведите лопатки в верхней точке."
Плечи,Отведение руки в сторону на блоке,Средняя дельта,Изолирующее,Блок,Push,Силовое,"Встаньте боком к блоку. Отведите руку в сторону до уровня плеча, опустите плавно."
Плечи,Тяга штанги к подбородку,"Средняя дельта, трапеции",Базовое,Штанга,Pull,Силовое,"Возьмите штангу узким хватом. Тяните вдоль тела к подбородку, разводя локти в стороны."
Ноги,Приседания со штангой,"Квадрицепс, ягодицы, бицепс бедра",Базовое,Штанга,Legs,Силовое,"Штанга на трапециях, ноги на ширине плеч. Присядьте до параллели бёдер с полом, встаньте."
Ноги,Фронтальные приседания,"Квадрицепс, кор",Базовое,Штанга,Legs,Силовое,"Штанга на передних дельтах, локти вперёд. Присядьте, сохраняя вертикальное положение корпуса."
Ноги,Кубковые приседания,"Квадрицепс, ягодицы",Базовое,Гантели,Legs,Функциональное,"Держите гантель у груди. Присядьте глубоко, разводя колени, встаньте."
Ноги,Жим ногами,"Квадрицепс, ягодицы",Базовое,Тренажёр,Legs,Силовое,"Упритесь спиной в сиденье, ноги на платформе. Опустите платформу, затем выжмите, не выпрямляя колени полностью."
Ноги,Гакк-приседания,Квадрицепс,Базовое,Тренажёр,Legs,Силовое,"Встаньте в тренажёр, плечи под упорами. Присядьте до параллели, выпрямитесь."
Ноги,Выпады,"Квадрицепс, ягодицы",Базовое,Гантели,Legs,Функциональное,"Сделайте широкий шаг вперёд, опуститесь до касания коленом пола. Вернитесь в исходное положение."
Ноги,Болгарские выпады,"Квадрицепс, ягодицы",Базовое,Гантели,Legs,Функциональное,"Задняя нога на скамье. Присядьте на передней ноге до параллели бедра с полом."
Ноги,Разгибание ног,Квадрицепс,Изолирующее,Тренажёр,Legs,Силовое,"Сядьте в тренажёр, валик над стопами. Выпрямите ноги, задержитесь, опустите плавно."
Ноги,Сгибание ног,Бицепс бедра,Изолирующее,Тренажёр,Legs,Силовое,"Лягте на тренажёр лицом вниз. Согните ноги, подтягивая валик к ягодицам."
Ноги,Сведение ног,Приводящие мышцы,Изолирующее,Тренажёр,Legs,Силовое,"Сядьте в тренажёр, ноги разведены. Сведите колени вместе, задержитесь, разведите плавно."
Ноги,Разведение ног,"Отводящие мышцы, ягодицы",Изолирующее,Тренажёр,Legs,Силовое,"Сядьте в тренажёр, ноги вместе. Разведите колени в стороны, задержитесь, сведите плавно."
